month_date_yyyymm,state,state_id,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202111,louisiana,la,274950,0.0035,0.0998,7106,-0.0397,-0.3366,65,-0.044117647,-0.182389937,2980,-0.057,-0.0892,140,-0.186,-0.186,1816,-0.034,-0.2395,8094,-0.0199,0.1045,138.9739879,0.0001,0.1012,1916,0.0031,-0.0299,384160.8587,-0.0028,0.0976,15200,-0.0293,-0.1574,1.139037433,0.0231,0.4549,0
202111,south carolina,sc,325000,-0.0028,0.1404,10078,-0.043,-0.3829,44.5,0.011363636,-0.293650794,6052,-0.1005,0.002,1280,0.2121,0.0526,2308,-0.1515,-0.3645,15108,0.0013,0.0654,164.9823252,0.0072,0.0944,1983.5,-0.0043,0.0328,517309.9466,0.0026,0.1359,25186,-0.0169,-0.1745,1.499106966,0.0664,0.6308,0
202111,colorado,co,563950,-0.0192,0.0883,9667,-0.1653,-0.2632,47.5,0.158536585,-0.208333333,6388,-0.221,0.0431,480,0.2,-0.2308,2576,-0.306,-0.119,12271,-0.0762,-0.121,259.7376273,-0.0137,0.058,2133.5,-0.0123,0.0049,1164152.643,0.0026,0.0518,21938,-0.1177,-0.1899,1.269370022,0.1225,0.2053,0
202111,connecticut,ct,449950,0.0003,0.1844,6050,-0.1624,-0.5714,56.5,0.107843137,0.118811881,3248,-0.1839,-0.207,84,-0.3824,-0.4167,1248,-0.3404,-0.3894,8748,-0.0321,44.801,237.3173428,0.019,0.2712,1887.5,-0.0107,-0.0658,1097723.733,0.043,0.3569,14798,-0.09,0.0342,1.445950413,0.1947,1.4324,0
202111,tennessee,tn,350000,0.0003,0.0941,10291,-0.0822,-0.2163,39.5,0.067567568,-0.131868132,7096,-0.0981,0.0547,380,-0.1739,-0.3493,2980,-0.1876,-0.1563,14060,0.0001,0.0392,182.704513,0.0115,0.1744,2006,-0.0005,-0.0253,537944.7646,0.0171,0.1662,24351,-0.0364,-0.0867,1.366242348,0.1124,0.3359,0
202111,alabama,al,279000,0,0.1153,9108,-0.0583,-0.2785,51.5,0.03,-0.1953125,4620,-0.1088,-0.031,460,0.1979,-0.2857,2168,-0.0936,-0.0829,6886,-0.0192,0.0854,135.4068931,0.0076,0.1373,1961,0.0005,-0.0478,389091.1513,0.0049,0.1308,15994,-0.0419,-0.1568,0.756038647,0.0301,0.2535,0
202111,florida,fl,415000,0.0172,0.1888,50854,-0.0694,-0.4718,48,0.043478261,-0.299270073,30464,-0.0766,-0.1014,3316,0.052,-0.3016,11788,-0.1253,-0.4374,70930,0.0392,0.0215,246.546875,0.0146,0.1944,1657.5,0.0009,0.0024,915954.8424,0.0346,0.2214,121784,-0.0091,-0.2651,1.394777205,0.1458,0.6736,0
202111,vermont,vt,364950,0.0427,0.1229,1127,-0.1869,-0.4797,76.5,0.159090909,-0.061349693,412,-0.259,-0.259,16,-0.3333,-0.3333,164,-0.3492,-0.4058,900,-0.1863,-0.3421,192.1199936,0.0112,0.1782,2000,-0.0065,-0.0017,586371.8828,0.0195,0.1423,2027,-0.1866,-0.4264,0.798580302,0.0006,0.167,0
202111,indiana,in,229900,0,0.0821,8357,-0.0766,-0.1771,41,0.078947368,-0.136842105,5644,-0.1064,0.0771,180,0.125,0.0227,3120,-0.1295,-0.1622,7377,-0.0407,-0.0157,122.8540284,0.0076,0.1379,1849,-0.0102,-0.0286,310414.2747,-0.0017,0.079,15734,-0.0601,-0.1086,0.882733038,0.033,0.1447,0
202111,north dakota,nd,258900,0.0078,0.0811,1833,-0.0643,-0.2732,71,0.075757576,-0.065789474,524,-0.1813,-0.1027,16,-0.6364,-0.3333,308,-0.3583,-0.3529,930,-0.1134,-0.0927,125.4194631,0.0181,0.0927,2116,-0.0005,0.0134,300851.0752,0.0019,0.0797,2763,-0.0814,-0.221,0.507364975,-0.0281,0.1009,0
202111,iowa,ia,219900,0.0041,0.0184,7011,-0.0376,-0.2432,51,0.02,-0.209302326,2840,-0.2206,-0.0483,516,-0.0979,2.4865,2172,-0.1991,0.0774,6540,-0.0669,-0.0294,141.0817012,0.0151,0.084,1536,-0.0039,-0.0406,275877.537,-0.0012,0.0776,13551,-0.052,-0.1532,0.932819855,-0.0293,0.2055,0
202111,new jersey,nj,432500,-0.017,-0.0324,20158,-0.1389,-0.2568,47,0.044444444,-0.010526316,10120,-0.1713,-0.1318,328,-0.1881,-0.3051,3168,-0.2549,-0.3618,14956,-0.1456,0.0801,233.0837991,-0.001,0.0821,1681,-0.0112,-0.0731,661916.8056,0.0175,0.0141,35114,-0.1418,-0.1429,0.741938684,-0.0059,0.2314,0
202111,virginia,va,369949.5,-0.0183,0.0306,13524,-0.1418,-0.239,42.5,0.0625,-0.095744681,8704,-0.1776,-0.0355,576,-0.0204,-0.4194,3280,-0.2991,-0.1581,15874,-0.036,-0.0676,191.9680299,-0.0027,0.1168,1879,-0.0095,-0.0698,551223.5369,0.0038,0.0097,29398,-0.0877,-0.1552,1.173765158,0.1289,0.2158,0
202111,kentucky,ky,239450,-0.0126,0.0459,7369,0.0373,-0.0107,33.5,-0.118421053,-0.37962963,3856,-0.0677,0.1872,84,0,-0.4,2148,-0.0183,0.0571,8883,0.0302,0.0448,134.0558922,0.0067,0.1376,1784.5,-0.0108,-0.0531,397232.8071,0.1942,0.2318,16252,0.0334,0.0189,1.205455286,-0.0084,0.0641,0
202111,illinois,il,267450,-0.0445,-0.0146,25243,-0.1118,-0.2846,47.5,0.104651163,-0.136363636,12524,-0.2043,-0.0739,308,0.0845,-0.2143,6728,-0.287,-0.241,23460,-0.0575,-0.0958,161.2369343,-0.0213,0.0791,1600,-0.0148,-0.0513,404807.4382,-0.0228,0.0006,48703,-0.0864,-0.2046,0.929366557,0.0535,0.194,0
202111,oklahoma,ok,231110,0.0048,0.0274,6770,-0.0484,-0.1836,51,0.040816327,-0.072727273,3456,-0.0981,-0.0474,252,0.0862,0.575,1660,-0.0998,-0.1189,8017,-0.0272,0.0961,127.8852882,0.0054,0.1428,1800,0,-0.0772,346953.8565,0.0113,0.082,14787,-0.037,-0.0525,1.184194978,0.0258,0.3021,0
202111,maryland,md,362250,-0.0207,0.0366,8499,-0.1163,-0.0796,43,0.048780488,-0.065217391,5860,-0.1733,0.0174,340,-0.0449,-0.3254,2988,-0.1845,0.0953,12489,-0.0498,-0.1159,205.4635205,0.0045,0.0875,1751,-0.0218,-0.0432,487499.8927,-0.0149,-0.0308,20988,-0.0779,-0.1016,1.469466996,0.1028,-0.0604,0
202111,new hampshire,nh,427499.5,-0.0056,0.1327,1617,-0.2074,-0.2855,48,0.142857143,-0.010309278,1312,-0.1633,-0.052,68,0.4167,-0.1053,292,-0.4385,-0.2772,1637,-0.1218,-0.2883,235.8326448,0.0378,0.1962,1863,-0.009,-0.0259,606910.4192,0.0288,0.1594,3254,-0.1665,-0.2869,1.012368584,0.0986,-0.004,0
202111,minnesota,mn,314500,-0.0016,0.0595,10380,-0.1438,-0.1596,45,0.153846154,-0.108910891,5200,-0.277,0.0735,188,0.0217,-0.3816,2648,-0.356,-0.0932,9976,-0.0959,-0.0493,175.7983045,0.0082,0.1032,1812,-0.0195,-0.0451,406934.2933,-0.0045,0.0271,20356,-0.121,-0.1089,0.961078998,0.051,0.1115,0
